hospital_id,city,symptom,predicted_disease,specialization,consultation_fee,estimated_meds_cost,total_estimated_cost,wait_time_mins,hospital_rating,doctor_exp_years,languages,distance_km,insurance_accepted,match_score
HOSP_0001,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,300,1395,1695,75,4.4,28,"English, Tamil",2.9,1,95
HOSP_0002,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,800,1069,1869,44,3.8,23,"English, Hindi",8.0,1,84
HOSP_0003,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,2858,3158,56,3.6,18,"English, Tamil",9.9,0,62
HOSP_0004,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,3188,3988,53,3.5,27,"English, Kannada",14.3,1,85
HOSP_0005,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,2439,2939,74,3.7,10,"English, Tamil",22.8,1,99
HOSP_0006,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2913,3913,18,3.8,20,"English, Telugu",11.5,1,95
HOSP_0007,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2643,3643,67,4.4,27,"English, Kannada",15.4,1,88
HOSP_0008,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2868,3068,15,3.8,26,"English, Tamil",5.4,1,94
HOSP_0009,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2578,3378,55,4.9,11,"English, Kannada",8.6,1,82
HOSP_0010,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,2195,2695,49,4.2,7,"English, Tamil",19.1,1,73
HOSP_0011,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,3239,3489,65,3.5,9,"English, Hindi",8.2,1,89
HOSP_0012,Kadapa,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,1978,2778,57,3.8,15,"English, Tamil",17.5,0,65
HOSP_0013,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,1663,2163,44,4.8,28,"English, Kannada",9.2,0,60
HOSP_0014,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,2980,3980,17,3.5,10,"English, Tamil",10.7,1,83
HOSP_0015,Vijayawada,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,1436,1636,76,5.0,22,"English, Kannada",6.7,1,96
HOSP_0016,Delhi,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,2460,2760,16,4.3,24,"English, Hindi, Telugu",9.0,1,61
HOSP_0017,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,1995,2245,84,3.9,6,"English, Tamil",9.6,1,97
HOSP_0018,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,497,747,25,4.7,18,"English, Hindi",4.2,1,75
HOSP_0019,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,500,3111,3611,73,3.8,28,"English, Tamil",20.3,1,66
HOSP_0020,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2259,2459,53,4.9,3,"English, Tamil",8.9,1,82
HOSP_0021,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,500,2491,2991,74,3.9,3,"English, Kannada",14.2,0,68
HOSP_0022,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,3163,3463,17,4.8,24,"English, Hindi",16.2,1,67
HOSP_0023,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,553,1053,39,3.5,16,"English, Telugu",12.4,1,95
HOSP_0024,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,697,897,35,3.8,26,"English, Tamil",16.6,1,71
HOSP_0025,Bangalore,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,1000,1345,2345,44,5.0,15,"English, Tamil",22.4,1,93
HOSP_0026,Vijayawada,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,2631,2831,78,4.8,18,"English, Tamil",14.5,1,76
HOSP_0027,Chennai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,1000,2824,3824,60,4.9,5,"English, Kannada",0.9,0,90
HOSP_0028,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,1439,1639,77,4.0,25,"English, Hindi",8.3,1,84
HOSP_0029,Kadapa,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,869,1869,81,4.4,26,"English, Telugu",15.6,0,61
HOSP_0030,Mumbai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,250,1084,1334,47,3.7,24,"English, Hindi, Telugu",7.8,1,84
HOSP_0031,Chennai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,3250,3500,71,4.4,22,"English, Hindi",2.2,1,73
HOSP_0032,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,500,1133,1633,46,4.4,24,"English, Tamil",11.9,1,81
HOSP_0033,Mumbai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,2652,3652,66,3.6,17,"English, Tamil",3.6,1,64
HOSP_0034,Vijayawada,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,1291,2091,61,4.5,10,"English, Kannada",3.8,0,89
HOSP_0035,Delhi,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,300,1381,1681,69,3.9,28,"English, Hindi, Telugu",2.5,1,71
HOSP_0036,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,933,1183,15,4.2,24,"English, Hindi",16.7,1,75
HOSP_0037,Kadapa,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,800,3137,3937,81,3.9,18,"English, Tamil",19.1,1,73
HOSP_0038,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,2441,2641,76,4.6,14,"English, Telugu",19.2,0,95
HOSP_0039,Vijayawada,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,1000,656,1656,37,3.6,24,"English, Hindi, Telugu",22.2,1,69
HOSP_0040,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,250,1931,2181,15,4.3,15,"English, Kannada",15.6,0,61
HOSP_0041,Chennai,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,300,1151,1451,38,4.5,5,"English, Kannada",3.6,0,96
HOSP_0042,Bangalore,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,1740,1940,54,4.9,14,"English, Hindi, Telugu",2.2,1,61
HOSP_0043,Bangalore,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,250,2382,2632,22,4.1,12,"English, Telugu",8.8,1,66
HOSP_0044,Mumbai,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,800,1949,2749,89,4.8,6,"English, Hindi",20.2,1,69
HOSP_0045,Delhi,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,300,1422,1722,50,4.1,9,"English, Hindi, Telugu",6.3,1,82
HOSP_0046,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,200,2121,2321,31,4.3,22,"English, Hindi",8.3,0,95
HOSP_0047,Hyderabad,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,375,575,23,4.0,16,"English, Kannada",14.5,1,64
HOSP_0048,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,3295,3495,67,4.7,27,"English, Hindi, Telugu",23.3,0,73
HOSP_0049,Hyderabad,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,300,1538,1838,89,3.7,14,"English, Hindi",19.2,1,97
HOSP_0050,Mumbai,"Stomach Pain, Acid Reflux",Gastritis / Ulcer,Gastroenterology,200,3293,3493,41,4.6,7,"English, Hindi, Telugu",2.6,0,60
HOSP_0051,Delhi,"Unexplained Weight Loss, Fatigue",Oncology Evaluation,Oncology,200,1624,1824,18,4.0,21,"English, Hindi, Telugu",9.8,1,69
HOSP_0052,Bangalore,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,1000,472,1472,27,4.1,28,"English, Kannada",3.4,1,98
HOSP_0053,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,800,2695,3495,76,4.1,19,"English, Hindi",21.8,1,65
HOSP_0054,Chennai,"Joint Pain, Swelling",Arthritis / Fracture,Orthopedics,800,3019,3819,59,3.6,23,"English, Hindi, Telugu",24.8,1,94
HOSP_0055,Chennai,"Severe Headache, Dizziness",Migraine / Neurological Concern,Neurology,200,2394,2594,63,4.5,3,"English, Hindi, Telugu",17.6,1,82
HOSP_0056,Bangalore,"Chest Pain, Shortness of Breath",Angina / Coronary Issue,Cardiology,500,1653,2153,30,4.8,14,"English, Kannada",8.7,1,95
